City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
183,Tura,RU,2020-04-04 8:02,64.27,100.22,-7.25,88,99,1.95,overcast clouds,0,0
184,Kontagora,NG,2020-04-04 8:02,10.4,5.47,86.36,43,99,2.8,overcast clouds,0,0
185,Dzilam Gonzalez,MX,2020-04-04 8:02,21.28,-88.93,81,78,86,11.01,light rain,0.75,0
186,Bambous Virieux,MU,2020-04-04 8:02,-20.34,57.76,80.6,69,40,18.34,scattered clouds,0,0
187,Rosetta,EG,2020-04-04 8:02,31.4,30.42,73.4,69,0,5.82,clear sky,0,0
188,Tautira,PF,2020-04-04 8:02,-17.73,-149.15,78.8,83,75,3.36,light rain,0,0
189,Molina,CL,2020-04-04 8:02,-35.11,-71.28,53.6,76,100,5.82,overcast clouds,0,0
190,Sao Filipe,CV,2020-04-04 8:02,14.9,-24.5,78.94,71,32,9.08,scattered clouds,0,0
191,Nouadhibou,MR,2020-04-04 8:02,20.93,-17.03,73.4,64,0,12.75,clear sky,0,0
192,Keti Bandar,PK,2020-04-04 8:02,24.14,67.45,89.24,48,2,11.54,light rain,0.38,0
193,Atambua,ID,2020-04-04 8:02,-9.11,124.89,79.05,71,5,5.66,light rain,1.06,0
194,Cherskiy,RU,2020-04-04 8:02,68.75,161.3,14.49,89,91,1.57,overcast clouds,0,0
195,Victoria,BN,2020-04-04 8:02,5.28,115.24,89.6,70,75,8.05,broken clouds,0,0
196,Egvekinot,RU,2020-04-04 8:02,66.32,-179.17,8.31,96,60,3.51,broken clouds,0,0
197,Nalut,LY,2020-04-04 8:02,31.86,10.98,74.3,39,0,10.49,clear sky,0,0
198,Peniche,PT,2020-04-04 8:02,39.36,-9.38,64.4,72,20,9.17,few clouds,0,0
199,Ribeira Grande,PT,2020-04-04 8:02,38.52,-28.7,64.4,88,75,10.29,light intensity shower rain,0,0
200,Ancud,CL,2020-04-04 8:02,-41.87,-73.83,42.8,93,40,6.93,scattered clouds,0,0
201,Komsomolskiy,RU,2020-04-04 8:02,67.55,63.78,10.18,81,100,17.49,overcast clouds,0,0
